AuthorId    First Author       Affiliation                                                    PaperId           Paper Title
2055858077	"Rajesh Parekh"	"DEPARTMENT OF COMPUTER SCIENCE, IOWA STATE UNIVERSITY, AMES, IA"	1184914352	"constructive neural network learning algorithms"
2069172874	"Vasant Honavar"	"DEPARTMENT OF COMPUTER SCIENCE, IOWA STATE UNIVERSITY, AMES, IA"	1184914352	"constructive neural network learning algorithms"
2096788472	"Jihoon Yang"	"DEPARTMENT OF COMPUTER SCIENCE, IOWA STATE UNIVERSITY, AMES, IA"	1184914352	"constructive neural network learning algorithms"
1991070240	"Srikanta Tirthapura"	"Iowa State Univ.#TAB#"	1127325140	"variance reduced stochastic gradient descent on streaming data"
2891277116	"Ashraf Tahmasbi"	"Iowa State Univ.#TAB#"	1127325140	"variance reduced stochastic gradient descent on streaming data"
2055858077	"Rajesh Parekh"	"DEPARTMENT OF COMPUTER SCIENCE, IOWA STATE UNIVERSITY, AMES, IA"	1184914352	"an incremental interactive algorithm for regular grammar inference"
2069172874	"Vasant Honavar"	"DEPARTMENT OF COMPUTER SCIENCE, IOWA STATE UNIVERSITY, AMES, IA"	1184914352	"an incremental interactive algorithm for regular grammar inference"
203236475	"Adrian Silvescu"	"Iowa State Univ.#TAB#"	1184914352	"incremental and distributed learning with support vector machines"
268350945	"Doina Caragea"	"Iowa State Univ.#TAB#"	1184914352	"incremental and distributed learning with support vector machines"
2069172874	"Vasant G. Honavar"	"Iowa State Univ.#TAB#"	1184914352	"incremental and distributed learning with support vector machines"
2069172874	"Vasant Honavar"	"DEPARTMENT OF COMPUTER SCIENCE, IOWA STATE UNIVERSITY, AMES, IA"	1184914352	"experiments in evolutionary synthesis of robotic neurocontrollers"
2161713815	"Karthik Balakrishnan"	"DEPARTMENT OF COMPUTER SCIENCE, IOWA STATE UNIVERSITY, AMES, IA"	1184914352	"experiments in evolutionary synthesis of robotic neurocontrollers"
2129556262	"Shane Griffith"	"Developmental Robotics Laboratory, Department of Electrical and Computer Engineering, Iowa State University#TAB#"	1184914352	"interactive categorization of containers and non containers by unifying categorizations derived from multiple exploratory behaviors"
2307294031	"Alexander Stoytchev"	"Developmental Robotics Laboratory, Department of Electrical and Computer Engineering, Iowa State University#TAB#"	1184914352	"interactive categorization of containers and non containers by unifying categorizations derived from multiple exploratory behaviors"
2678415270	"Praneeth Narayanamurthy"	"Iowa State Univ.#TAB#"	1180662882	"nearly optimal robust subspace tracking and dynamic robust pca"
2804745695	"Iowa Namrata Vaswani"	"Iowa State University, USA,"	1180662882	"nearly optimal robust subspace tracking and dynamic robust pca"
2304021569	"Ying Cai"	""	1184914352	"detecting adversarial examples through image transformation"
2539279315	"Shixin Tian"	""	1184914352	"detecting adversarial examples through image transformation"
2283469157	"Jin Tian"	"DEPARTMENT OF COMPUTER SCIENCE, IOWA STATE UNIVERSITY, AMES, IA"	1184914352	"recovering causal effects from selection bias"
2101484218	"Chinmay Hegde"	""	1127325140	"fast recovery from a union of subspaces"
1805977020	"Daniel Stoecklein"	""	1127325140	"hierarchical feature extraction for efficient design of microfluidic flow patterns"
2028983865	"Baskar Ganapathysubramanian"	""	1127325140	"hierarchical feature extraction for efficient design of microfluidic flow patterns"
2207539065	"Kin Gwn Lore"	""	1127325140	"hierarchical feature extraction for efficient design of microfluidic flow patterns"
2226980829	"Michael Davies"	""	1127325140	"hierarchical feature extraction for efficient design of microfluidic flow patterns"
2289472044	"Soumik Sarkar"	""	1127325140	"hierarchical feature extraction for efficient design of microfluidic flow patterns"
1387639048	"Kristin Rozier"	"Iowa State Univ.#TAB#"	1184914352	"sat based explicit ltlf satisfiability checking"
2291748885	"Jianwen Li"	"Iowa State Univ.#TAB#"	1184914352	"sat based explicit ltlf satisfiability checking"
203236475	"Adrian Silvescu"	"Artificial Intelligence Research Laboratory, Department of Computer Science, Iowa State University, Ames, IA"	1130985203	"rnbl mn a recursive naive bayes learner for sequence classification"
2069172874	"Vasant Honavar"	"Artificial Intelligence Research Laboratory, Department of Computer Science, Iowa State University, Ames, IA"	1130985203	"rnbl mn a recursive naive bayes learner for sequence classification"
2133513039	"Dae-Ki Kang"	"Artificial Intelligence Research Laboratory, Department of Computer Science, Iowa State University, Ames, IA"	1130985203	"rnbl mn a recursive naive bayes learner for sequence classification"
